,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
295,Namwala,0,ZM,1536906932,43,-15.75,26.45,69.59,3.91
296,Kjollefjord,75,NO,1536904200,100,70.95,27.35,48.2,5.82
297,Chuy,64,UY,1536906932,98,-33.69,-53.46,57.17,9.73
298,Beringovskiy,92,RU,1536906932,100,63.05,179.32,50.24,17.67
299,Mount Gambier,20,AU,1536906933,56,-37.83,140.78,65.9,10.85
300,Astoria,75,US,1536904500,96,46.19,-123.83,55.94,4.7
301,Baiyin,75,CN,1536901200,50,36.55,104.13,55.4,13.42
302,Marabba,0,SD,1536906934,73,12.35,32.18,82.73,4.59
303,Okhotsk,0,RU,1536906934,79,59.36,143.24,54.65,4.14
304,Pasighat,100,IN,1536906934,92,28.06,95.33,71.48,0.56
305,Dicabisagan,92,PH,1536906934,100,17.08,122.42,78.14,18.9
306,Frutal,92,BR,1536906935,76,-20.02,-48.93,68.15,4.03
307,Papara,0,BR,1536904800,78,-3.98,-38.73,77,13.87
308,Saint George,0,GR,1536904200,64,39.45,22.34,68,3.36
310,Cabedelo,20,BR,1536904800,94,-6.97,-34.84,68,8.05
311,Antalaha,80,MG,1536906936,97,-14.9,50.28,71.84,8.72
312,Valle del Guamuez,44,CO,1536906936,88,0.45,-76.92,68.06,2.24
313,Hasaki,75,JP,1536903000,78,35.73,140.83,77,4.7
314,Alibag,75,IN,1536904800,78,18.64,72.88,82.4,8.28
315,Bosobolo,48,CD,1536906937,96,4.19,19.88,73.46,1.57
316,The Pas,90,CA,1536904800,87,53.82,-101.24,44.6,9.17
317,Muros,40,ES,1536904800,100,42.77,-9.06,60.8,4.7
318,Petatlan,88,MX,1536906938,99,17.52,-101.27,81.74,2.91
319,Shu,0,KZ,1536906938,24,43.6,73.76,69.41,16.22
320,Bedford,90,GB,1536906000,76,52.14,-0.47,53.6,4.7
321,Havre-Saint-Pierre,20,CA,1536904800,93,50.23,-63.6,55.4,9.17
322,Bela,8,PK,1536906771,66,26.23,66.31,80.21,3.69
323,Marsh Harbour,24,BS,1536906913,99,26.54,-77.06,83.9,11.52
325,Tuni,40,BO,1536904800,93,-16.67,-68.14,39.2,6.93
326,Cocachacra,0,PE,1536906940,93,-17.09,-71.76,45.29,2.24
327,Verkhnyaya Inta,88,RU,1536906940,93,65.99,60.32,49.7,5.7
328,Geraldton,20,CA,1536904800,82,49.72,-86.95,62.6,10.29
330,Maraa,24,BR,1536906941,93,-1.83,-65.37,77.24,2.57
331,Sucre,0,BO,1536906941,56,-19.05,-65.26,35.66,2.46
332,Srednekolymsk,92,RU,1536906941,85,67.46,153.71,37.55,3.58
334,Yarada,24,IN,1536906942,100,17.65,83.27,83.54,15.21
335,Seoul,90,KR,1536904800,54,37.57,126.98,80.6,9.17
336,Talaja,88,IN,1536906942,99,21.35,72.04,77.87,4.92
337,Rocha,76,UY,1536906942,96,-34.48,-54.34,54.56,6.04
338,Los Llanos de Aridane,0,ES,1536904800,94,28.66,-17.92,71.6,6.93
339,Podporozhye,48,RU,1536906943,80,60.91,34.16,52.76,5.93
340,Bayonne,90,US,1536906300,87,40.67,-74.11,71.96,4.7
341,Ratholo,0,BW,1536906944,44,-22.72,27.57,64.37,3.02
342,Abu Samrah,0,SY,1536906944,65,35.3,37.18,75.8,11.97
344,Vardo,90,US,1536905100,84,39.62,-77.74,73.94,6.93
345,Nakamura,75,JP,1536904800,83,35.17,136.87,75.2,4.7
346,Bambous Virieux,40,MU,1536904800,61,-20.34,57.76,77,13.87
348,Igarka,12,RU,1536906945,70,67.47,86.57,43.94,25.5
349,Tuatapere,0,NZ,1536906946,80,-46.13,167.69,54.65,15.1
350,Kefamenanu,8,ID,1536906946,28,-9.45,124.48,87.95,1.9
352,Kodiak,1,US,1536904380,100,39.95,-94.76,68,3.36
353,Muana,0,BR,1536906947,90,-1.53,-49.22,80.03,9.62
354,Brigantine,90,US,1536906120,100,39.41,-74.36,71.96,9.17
355,Hailar,92,CN,1536906947,71,49.2,119.7,61.85,11.3
356,Cravo Norte,8,CO,1536906947,89,6.3,-70.2,75.89,2.8
357,Iqaluit,40,CA,1536904800,86,63.75,-68.52,30.2,4.7
358,Belaya Gora,92,RU,1536906948,99,68.54,146.19,39.44,9.62
359,Shanghai,75,CN,1536904800,62,31.23,121.49,86,6.71
360,Mao,20,DO,1536904800,100,19.55,-71.08,77,4.7
361,Ivybridge,40,GB,1536906000,87,50.39,-3.92,53.6,1.12
362,Makokou,92,GA,1536906949,96,0.56,12.85,71.66,2.8
363,La Ronge,90,CA,1536904800,100,55.1,-105.3,35.6,5.82
364,Tadine,92,NC,1536906949,91,-21.55,167.88,73.82,16.11
365,Bilibino,92,RU,1536906950,95,68.06,166.44,41.6,5.26
366,Lugovoy,88,RU,1536906950,75,59.72,65.88,54.38,14.99
368,Lagoa,0,PT,1536904800,94,37.14,-8.45,69.8,6.93
369,Carballo,75,ES,1536904800,93,43.21,-8.69,62.6,4.7
370,Hambantota,36,LK,1536906951,90,6.12,81.12,83.63,12.3
371,Kochinda,56,IN,1536906951,82,21.73,84.35,86.42,6.26
372,Nyurba,12,RU,1536906952,57,63.29,118.35,49.79,5.03
373,Boyolangu,12,ID,1536906952,39,-8.09,111.9,88.67,10.18
374,Palana,92,RU,1536906944,97,59.08,159.95,43.49,6.82
375,Gumdag,0,TM,1536906952,49,39.2,54.59,78.32,5.59
376,Provideniya,90,RU,1536903000,93,64.42,-173.23,46.4,8.95
378,Kargil,20,PK,1536906953,75,34.56,76.13,38.54,1.57
380,Tuy Hoa,76,VN,1536906953,85,13.08,109.3,84.44,6.15
381,Clyde River,90,CA,1536904800,100,70.47,-68.59,33.8,9.17
382,Miracema do Tocantins,0,BR,1536906954,46,-9.56,-48.4,73.82,7.94
383,Parkes,0,AU,1536906954,52,-33.14,148.18,69.41,6.04
384,Margate,0,AU,1536904800,57,-43.03,147.26,69.8,18.34
385,Ewing,90,US,1536905700,92,40.27,-74.8,71.96,8.05
386,Ode,76,NG,1536906955,98,7.79,5.71,71.3,5.93
387,Mayumba,68,GA,1536906955,100,-3.44,10.65,73.28,5.26
388,Henties Bay,8,NA,1536906956,100,-22.12,14.28,53.12,2.46
389,Tambun,75,MY,1536904800,59,4.62,101.14,91.4,3.36
390,Beidao,100,CN,1536906956,96,34.57,105.89,58.79,3.69
392,Souillac,0,FR,1536904800,82,45.6,-0.6,62.6,4.7
393,Otane,0,NZ,1536906957,71,-39.89,176.62,54.92,4.36
394,Gravdal,75,NO,1536904200,71,59.79,5.78,55.4,21.92
395,Hovd,75,NO,1536904200,87,63.83,10.7,50,2.24
396,Pangnirtung,8,CA,1536906958,92,66.15,-65.72,31.43,15.77
397,Phaphund,0,IN,1536906958,54,26.6,79.47,92.99,9.51
398,Cururupu,0,BR,1536906958,79,-1.82,-44.87,77.87,9.73
400,Batetskiy,76,RU,1536906959,80,58.65,30.3,54.83,4.92
401,Scarborough,68,GB,1536904200,81,54.28,-0.41,55.4,9.17
402,Grindavik,0,IS,1536904800,75,63.84,-22.43,41,17.22
403,Prince Albert,90,CA,1536904800,93,53.2,-105.75,39.2,6.93
404,Ahipara,48,NZ,1536906960,91,-35.17,173.16,54.74,7.61
405,Teya,75,MX,1536904020,88,21.05,-89.07,78.8,9.17
406,Yendi,48,GH,1536906960,90,9.45,0,73.19,7.61
407,Cairns,40,AU,1536904800,47,-16.92,145.77,80.6,19.46
408,Kharan,0,PK,1536906961,21,28.58,65.42,85.7,0.89
409,Seymchan,80,RU,1536906961,67,62.93,152.39,41.42,6.93
410,Sur,0,OM,1536906961,92,22.57,59.53,84.35,1.9
411,Barcelos,75,PT,1536904800,100,41.53,-8.62,59,2.46
412,Dyurtyuli,0,RU,1536906962,64,55.49,54.86,61.22,10.63
413,Kanniyakumari,0,IN,1536906962,97,8.08,77.57,80.21,15.55
414,Manavalakurichi,40,IN,1536904800,70,8.13,77.3,86,13.87
415,Cordoba,36,CO,1536906963,100,5.59,-73.79,48.62,1.57
417,Vila Franca do Campo,20,PT,1536904800,77,37.72,-25.43,69.8,3.36
419,Urucara,0,BR,1536906964,86,-2.54,-57.76,76.79,3.36
421,Hamilton,40,CA,1536904800,93,43.26,-79.87,69.8,8.05
422,Caboolture,0,AU,1536904800,60,-27.08,152.95,78.8,13.87
423,Petawawa,1,CA,1536905520,100,45.89,-77.27,53.6,2.46
424,Oranjemund,8,ZA,1536906552,99,-28.55,16.43,56.54,15.66
425,Cividale del Friuli,20,IT,1536904500,88,46.09,13.43,71.6,2.24
426,Mechanicsville,90,US,1536904740,93,37.62,-77.34,77,11.41
427,Bharatpur,80,NP,1536906966,87,27.68,84.43,77.51,2.91
428,Obo,0,CF,1536906966,93,5.39,26.49,72.92,6.15
429,Fuzhou,20,CN,1536904800,66,26.08,119.3,87.8,17.9
430,Gladstone,8,AU,1536906967,55,-23.84,151.26,76.25,11.41
432,Neuquen,0,AR,1536904800,76,-38.95,-68.06,41,3.36
433,Nhulunbuy,40,AU,1536905520,88,-12.18,136.78,78.8,11.41
435,Aasiaat,48,GL,1536906968,100,68.71,-52.87,39.17,5.14
436,Presidente Dutra,24,BR,1536906968,41,-5.29,-44.49,82.46,6.49
437,Yar-Sale,92,RU,1536906968,100,66.83,70.83,49.7,8.95
438,Greenwood,1,US,1536905400,79,32.03,-101.9,75.2,10.29
439,Manzhouli,68,CN,1536906969,41,49.6,117.43,65.45,4.81
440,Sao Jose da Coroa Grande,80,BR,1536906969,81,-8.9,-35.15,73.55,8.72
441,Guymon,1,US,1536905700,65,36.68,-101.48,73.4,17.22
443,Ancona,1,US,1536905700,97,41.04,-88.87,68,3.36
444,Atasu,0,KZ,1536906970,57,48.68,71.64,63.29,4.36
445,Vao,0,EE,1536906971,81,59.1,26.19,54.74,7.94
446,Skorodnoye,0,RU,1536904800,68,51.07,37.24,68,6.71
447,Belmopan,40,BZ,1536904800,83,17.25,-88.77,82.4,3.36
448,Innisfail,75,CA,1536904800,92,52.02,-113.95,28.4,4.7
450,Birao,20,CF,1536906972,100,10.3,22.78,70.85,4.47
451,Kloulklubed,75,PW,1536904200,70,7.04,134.26,86,9.17
452,Fare,92,PF,1536906972,98,-16.7,-151.02,79.58,12.41
453,Waycross,1,US,1536904560,90,31.21,-82.35,78.8,4.36
454,Ulladulla,0,AU,1536904800,56,-35.36,150.48,71.6,9.17
455,Kargasok,92,RU,1536906973,98,59.06,80.87,52.58,10.74
456,Lorengau,56,PG,1536906974,100,-2.02,147.27,83.54,7.27
457,Angouleme,0,FR,1536904800,93,45.65,0.15,62.6,5.82
458,Ericeira,0,PT,1536904800,88,38.96,-9.42,62.6,3.36
459,Thonon-les-Bains,75,FR,1536904800,100,46.37,6.48,64.4,2.24
460,Petropavlovsk-Kamchatskiy,0,RU,1536904800,37,53.05,158.65,66.2,6.71
461,Masuguru,0,MZ,1536906975,76,-11.38,38.46,75.44,4.59
462,Benguela,0,AO,1536904800,88,-12.58,13.4,68,2.8
463,The Valley,75,AI,1536904800,83,18.22,-63.06,80.6,9.17
464,Karasjok,0,NO,1536906000,93,69.47,25.52,46.4,3.36
465,Washougal,40,US,1536906540,96,45.58,-122.35,59,3.36
467,Narasapur,8,IN,1536906976,98,16.45,81.67,84.44,14.88
468,Den Helder,90,NL,1536906420,87,52.96,4.76,62.6,9.17
469,Nouadhibou,8,MR,1536904800,78,20.93,-17.03,80.6,8.05
471,Presidencia Roque Saenz Pena,56,AR,1536906977,97,-26.79,-60.44,62.21,7.94
473,Te Anau,12,NZ,1536906978,69,-45.41,167.72,49.52,8.5
474,Ayagoz,0,KZ,1536906978,30,47.96,80.43,62.03,4.7
475,Yerbogachen,76,RU,1536906979,51,61.28,108.01,46.55,3.69
477,Bilma,0,NE,1536906979,38,18.69,12.92,71.57,3.24
478,Sabla,20,NG,1536906979,96,12.75,4.71,70.85,8.39
480,Juneau,40,US,1536904560,85,58.3,-134.42,46.04,2.35
482,Kutum,32,SD,1536906980,77,14.2,24.66,71.12,4.36
483,Mizdah,0,LY,1536906980,69,31.45,12.98,68.15,3.36
484,Nangomba,8,TZ,1536906981,73,-10.9,38.52,74.54,4.59
485,Tautira,20,PF,1536904800,69,-17.73,-149.15,78.8,3.36
486,Otjiwarongo,0,NA,1536906981,37,-20.46,16.65,53.57,5.59
487,Jacareacanga,48,BR,1536906981,98,-6.22,-57.76,72.29,2.8
488,Sangar,0,RU,1536906982,44,63.92,127.47,52.22,3.91
489,Grand-Santi,0,GF,1536906982,76,4.27,-54.38,75.98,4.81
490,Bom Jesus,8,BR,1536906982,47,-9.08,-44.36,74.9,13.42
491,Inongo,76,CD,1536906983,99,-1.93,18.29,70.04,2.68
492,Nanakuli,20,US,1536904620,80,21.39,-158.15,80.06,8.05
493,San Vicente,0,SV,1536904200,94,13.64,-88.78,78.8,2.24
494,Kajaani,20,FI,1536906000,93,64.22,27.73,48.2,5.82
495,Flinders,0,AU,1536904800,56,-34.58,150.85,71.6,9.17
497,Raudeberg,75,NO,1536906000,76,61.99,5.14,51.8,21.92
498,Camalu,12,MX,1536906985,85,30.85,-116.07,63.2,4.92
499,Hobyo,32,SO,1536906985,78,5.35,48.53,79.85,18.12
500,Verkhoyansk,0,RU,1536906986,55,67.55,133.39,47.54,3.69
501,Ngunguru,12,NZ,1536906986,95,-35.62,174.5,59.15,11.18
502,Bratsk,20,RU,1536904800,64,56.15,101.63,39.2,15.66
503,Griffith,0,AU,1536906987,35,-34.29,146.06,73.1,10.51
504,Cape Canaveral,1,US,1536904380,93,28.41,-80.6,77,5.82
505,Brokopondo,0,SR,1536904800,94,5.06,-54.98,75.2,3.36
506,Bayonet Point,40,US,1536905700,100,28.33,-82.68,80.96,3.36
507,Medea,40,DZ,1536904800,100,36.27,2.77,68,2.24
508,Kerman,0,IR,1536904800,13,30.29,57.06,84.2,6.93
509,Coalinga,1,US,1536904560,38,36.14,-120.36,69.98,11.41
511,Arys,0,KZ,1536904800,23,42.43,68.8,73.4,8.95
513,Litovko,48,RU,1536906989,66,49.24,135.18,68.69,6.93
514,Gushikawa,75,JP,1536904800,74,26.35,127.87,87.8,16.11
515,Kathmandu,75,NP,1536904200,73,27.71,85.32,77,5.82
516,Waharoa,0,NZ,1536906990,67,-37.76,175.76,59.33,8.95
517,Takoradi,64,GH,1536906990,100,4.89,-1.75,75.26,7.05
518,Tahe,68,CN,1536906990,55,52.34,124.71,64.37,4.14
519,Blackwater,75,GB,1536906000,81,51.33,-0.78,53.6,8.05
520,Luba,92,PH,1536906991,87,17.32,120.7,80.21,3.8
521,Una,75,BR,1536901200,94,-15.29,-39.07,69.8,8.05
522,Catio,92,GW,1536906991,97,11.28,-15.25,74.45,3.13
523,San Ramon,68,NI,1536906992,92,12.92,-85.84,69.95,2.13
524,Dire,44,ET,1536906992,80,9.18,38.92,61.67,3.58
527,Codrington,0,AU,1536906992,65,-28.95,153.24,74.63,3.24
528,Leh,76,IN,1536906993,66,34.16,77.58,39.98,2.01
529,Nokaneng,0,BW,1536906993,41,-19.66,22.19,64.19,4.25
530,Melville,1,CA,1536904800,81,50.93,-102.81,48.2,6.93
531,Port Lincoln,0,AU,1536906994,78,-34.72,135.86,63.74,14.32
532,Estevan,1,CA,1536905700,100,49.14,-102.99,48.2,3.24
533,Biak,8,ID,1536906994,69,-0.91,122.88,83.54,9.06
534,Colares,0,PT,1536904800,88,38.8,-9.45,62.6,3.36
535,Baykit,64,RU,1536906995,76,61.68,96.39,38.54,4.14
536,Barentu,0,ER,1536906995,81,15.11,37.59,76.97,4.03
537,Tricase,40,IT,1536904500,88,39.93,18.36,75.2,3.36
539,Honghu,8,CN,1536906996,62,29.82,113.46,90.74,6.26
540,Brae,75,GB,1536906000,87,60.4,-1.35,51.8,5.82
541,Maltahohe,0,NA,1536906996,30,-24.83,16.98,42.59,1.34
542,Polewali,8,ID,1536906996,43,-4.03,119.8,89.39,14.2
543,Qujing,44,CN,1536906997,89,25.49,103.8,69.95,6.6
544,Ucluelet,92,CA,1536906997,100,48.94,-125.55,50.42,1.9
545,Luderitz,0,NA,1536906997,89,-26.65,15.16,49.88,10.85
546,Omboue,92,GA,1536906998,100,-1.57,9.26,75.62,10.4
547,Meulaboh,64,ID,1536906998,100,4.14,96.13,82.82,4.59
548,Panaba,8,MX,1536906998,91,21.28,-88.27,76.52,3.13
549,Novaya Malykla,92,RU,1536906998,93,54.21,49.93,59.42,3.69
550,Izhma,92,RU,1536906999,100,65.01,53.91,49.7,6.71
551,Igunga,0,TZ,1536906999,50,-4.28,33.88,71.57,3.58
552,Svetlogorsk,75,RU,1536904800,45,53.14,59.15,68,15.66
553,Buchanan,75,LR,1536904800,94,5.88,-10.05,73.4,5.37
554,Fairbanks,40,US,1536904560,65,64.84,-147.72,57.2,5.82
556,Kupang,40,ID,1536904800,35,-10.16,123.6,89.6,11.41
558,Dalton,1,US,1536904500,100,34.77,-84.97,75.02,4.14
559,Georgiyevskoye,100,RU,1536907001,66,44.16,39.25,76.07,1.9
560,La Asuncion,64,EC,1536907001,100,-1.64,-78.74,45.2,0.89
561,Show Low,1,US,1536904500,29,34.25,-110.03,64.94,5.82
562,Buala,88,SB,1536907002,100,-8.15,159.59,75.98,8.61
563,Sao Felix do Xingu,36,BR,1536907002,98,-6.64,-51.99,71.03,1.9
564,Praia da Vitoria,20,PT,1536904800,88,38.73,-27.07,71.6,10.85
565,Yagodnoye,88,RU,1536907002,67,62.52,149.63,39.35,2.91
566,Port-Cartier,5,CA,1536904800,93,50.03,-66.88,55.4,3.36
567,Veydelevka,8,RU,1536907003,44,50.15,38.45,72.2,7.05
568,Dingle,92,PH,1536907003,100,11,122.67,74.63,17.22
570,Lavumisa,92,ZA,1536907004,91,-27.31,31.88,61.67,3.8
571,Dhidhdhoo,0,MV,1536907004,100,6.88,73.1,83.99,7.94
572,Leningradskiy,92,RU,1536907004,89,69.38,178.42,44.3,19.69
573,Solnechnyy,12,RU,1536907004,72,50.72,136.64,64.37,2.8
574,Arlit,0,NE,1536907005,23,18.74,7.39,73.46,11.41
575,Matias Barbosa,76,BR,1536906861,93,-21.87,-43.32,58.97,3.69
576,Sinnamary,88,GF,1536906990,96,5.38,-52.96,81.83,13.42
577,Vung Tau,40,VN,1536904800,70,10.35,107.08,87.8,5.82
578,Grand Gaube,40,MU,1536904800,61,-20.01,57.66,77,13.87
579,Tazovskiy,92,RU,1536907006,94,67.47,78.7,37.82,29.08
580,Hami,0,CN,1536907006,84,42.84,93.51,58.25,3.13
581,Luis Correia,0,BR,1536907006,74,-2.88,-41.67,76.34,17.45
582,Shunyi,8,CN,1536906600,48,40.13,116.65,84.2,11.18
583,Inverbervie,44,GB,1536906000,76,56.85,-2.28,55.4,14.99
584,Faya,0,SA,1536904800,26,18.39,42.45,80.6,4.03
585,Kyshtovka,92,RU,1536907007,82,56.56,76.62,57.62,22.59
586,Plymouth,75,GB,1536904200,87,50.37,-4.14,51.8,8.05
587,Illapel,0,CL,1536907008,99,-31.63,-71.17,45.65,2.46
588,Awbari,0,LY,1536907008,48,26.59,12.77,69.32,6.04
589,Usogorsk,92,RU,1536907008,96,63.43,48.71,52.49,7.49
590,Kabwe,0,ZM,1536907009,26,-14.44,28.44,72.74,10.29
591,Jasper,1,US,1536904560,100,33.83,-87.28,75.02,2.35
592,Banjar,44,ID,1536907009,57,-7.37,108.54,81.11,5.82
